,doc_sent_idx,sent_type,snt
5733,1,t,MEK inhibitors as a chemotherapeutic intervention in multiple myeloma (PMID:23524590)
5734,2,a,"The Ras/Raf/MEK/extracellular signal regulated kinase (ERK) (Ras/mitogen-activated protein kinases (MAPK)) signal transduction pathway is a crucial mediator of many fundamental biological processes, including cellular proliferation, survival, angiogenesis and migration."
5735,3,a,"Aberrant signalling through the Ras/MAPK cascade is common in a wide array of malignancies, including multiple myeloma (MM), making it an appealing candidate for the development of novel targeted therapies."
5736,4,a,"In this review, we explore our current understanding of the Ras/MAPK pathway and its role in MM."
5737,5,a,"Additionally, we summarise the current status of small molecule inhibitors of MEK under clinical evaluation, and discuss future approaches required to optimise their use."
5738,6,s,"<sec-title level=""1"">Introduction</sec-title>"
5739,7,b,Mitogen-activated protein kinases (MAPKs) are a family of ubiquitously expressed serine/threonine kinases that transmit diverse cell surface signals throughout the cell.
5740,8,b,MAPK pathways consist of a three-tiered signalling module activated via a phosphorylation cascade.
5741,9,b,"The most proximal kinase in these pathways, the MAPK kinase kinase (MAPKKK or MAP3k), engaged by extracellular signals, phosphorylates a dual specificity MAPK kinase (MAPKK or MAP2K), which in turn phosphorylates and actives the distil effector MAPK."
5742,10,b,"Mammalian MAPK pathways are represented by the Extracellular Signal Regulated Kinase (ERK), c-Jun N-terminal kinase, p38, ERK 5, ERK 3/4 and ERK 7/8 pathways.<sup><xref ref-type=""bibr"" rid=""bib1"">1</xref></sup>"
5743,11,b,"The Ras/MAPK pathway is the best characterised of the mammalian MAPK signal transduction networks, consisting of the Ras proteins, a family of small G-coupled molecules, the Raf kinases (MAP3K), the MAP2K kinases (MEK1 and MEK2) and the pathway distil kinases ERK1 and ERK2."
5744,12,b,"The Ras/MAPK network is frequently deregulated in malignancy and contributes to many of the hallmarks of oncogenesis, including abnormal cellular proliferation, impaired apoptosis, enhanced angiogenesis, metastasis and the development of drug resistance.<sup><xref ref-type=""bibr"" rid=""bib2"">2</xref></sup>"
5745,13,b,"MEK lies at a critical juncture within the Ras/MAPK pathway, having a limited number of direct upstream MAP3K activators and ERK1/2 as its only known cellular targets, thereby making it an attractive target for cancer therapy."
5746,14,b,Several MEK inhibitors have been developed and investigated in preclinical and clinical models.
5747,15,b,"Results from these studies have been promising and suggest that MEK inhibitors, whether alone or in combination with other anticancer therapies, may have a significant role to play in the future management of malignancy."
5748,16,b,"Current management strategies for multiple myeloma (MM) involve conventional chemotherapeutics and novel anti-MM agents (thalidomide, lenalidomide and bortezomib), with or without subsequent autologous stem cell transplantation.<sup><xref ref-type=""bibr"" rid=""bib3"">3</xref></sup>"
5749,17,b,"Although these anticancer therapies are typically effective initially, MM remains a fatal and largely incurable disease."
5750,18,b,This is due to the high frequency of relapse and the eventual development of drug resistance.
5751,19,b,"Accumulative genetic changes within malignant plasma cells, together with MM interplay with the bone marrow microenvironment (BMME), potentiate disease progression by promoting the deregulation of multiple signal transduction networks, one of which is the Ras/MAPK pathway.<sup><xref ref-type=""bibr"" rid=""bib4"">4</xref>, <xref ref-type=""bibr"" rid=""bib5"">5</xref></sup>"
5752,20,b,This suggests that MM patients may benefit from the abrogation of this kinase network through the administration of a MEK inhibitor.
5753,21,b,"Here, we discuss the Ras/MAPK pathway, its involvement in MM and the role of MEK inhibitors in the future management of the disease."
5754,22,b,"<sec-title level=""2"">Overview of the Ras/Raf/MEK/ERK pathway</sec-title>"
5755,23,b,"Members of the Ras protein subfamily (H-, K- and N-Ras) function as molecular switches in cellular signal transduction."
5756,24,b,"Diverse growth factor, mitogen and cytokine engagement of cognate receptors leads to the recruitment of the GDP/GTP exchange factors, growth-factor-receptor bound protein 2 (Grp2) and Sons of Sevenless (SOS) to the plasma membrane where Ras resides."
5757,25,b,"The grp2/SOS complex then promotes inactive Ras to exchange GDP with GTP and enters an activated state.<sup><xref ref-type=""bibr"" rid=""bib6"">6</xref></sup>"
5758,26,b,"Activated Ras then recruits Raf to the cell membrane, where it is activated by phosphorylation."
5759,27,b,"This process is antagonised by GTPase-activating proteins, which promote GTP hydrolysis and the formation of inactive Ras-GDP complexes.<sup><xref ref-type=""bibr"" rid=""bib7"">7</xref></sup>"
5760,28,b,"Approximately 30% of malignancies contain activating mutations in a Ras proto-oncogene, with pancreatic (90%), colon (50%) and thyroid (50%) carcinomas demonstrating the highest prevalence."
5761,29,b,"Mutations typically affect K-Ras and N-Ras, but rarely H-Ras, and occur in a mutually exclusive manner.<sup><xref ref-type=""bibr"" rid=""bib8"">8</xref></sup>"
5762,30,b,"The Raf family of serine/threonine kinases (A-, B- and c-Raf (Raf-1)) lie at the apex of the MEK/ERK pathway."
5763,31,b,All three Raf isoforms share similar structural characteristics.
5764,32,b,"However, they differ in their ability to phosphorylate and activate MEK, with B-Raf demonstrating higher basal kinase activity compared with Raf-1 and A-Raf.<sup><xref ref-type=""bibr"" rid=""bib9"">9</xref>, <xref ref-type=""bibr"" rid=""bib10"">10</xref></sup>"
5765,33,b,"Activating B-Raf mutations have been described in 66% of melanomas and to a lesser degree in other solid tumours.<sup><xref ref-type=""bibr"" rid=""bib11"">11</xref></sup>"
5766,34,b,"The clinical relevance of this association is reinforced by the exquisite sensitivity of these B-Raf mutated tumours to MEK inhibition.<sup><xref ref-type=""bibr"" rid=""bib12"">12</xref></sup>"
5767,35,b,"Despite a high prevalence of activating B-Raf mutations in melanoma and solid tumours, these mutations are infrequent in MM.<sup><xref ref-type=""bibr"" rid=""bib13"">13</xref></sup>"
5768,36,b,This suggests that molecules other than B-Raf or alternative kinase pathways may have a crucial role in MM tumourigenesis.
5769,37,b,"MEK is a unique dual specificity kinase that phosphorylates both serine/threonine and tyrosine residues.<sup><xref ref-type=""bibr"" rid=""bib14"">14</xref></sup>"
5770,38,b,"MEK consists of two isoforms, MEK1 and MEK2, which in turn phosphorylate ERK1 and ERK2.<sup><xref ref-type=""bibr"" rid=""bib15"">15</xref></sup>"
5771,39,b,"Activated ERK1/2 control a diverse range of cellular processes through their many substrates (>160) that are located in cellular membranes, the cytoplasm and nucleus."
5772,40,b,"Many of these are transcription factors that are important in cellular proliferation, differentiation, survival, angiogenesis and migration.<sup><xref ref-type=""bibr"" rid=""bib16"">16</xref></sup>"
5773,41,b,Physiological activation of the Ras/MAPK pathway is also influenced by multiple mechanisms.
5774,42,b,"Inhibitory molecules, such as Sprouty proteins (SPRY) and MAPK phosphatases (MKP or DUSPs), engage the pathway at different points to negatively regulate signalling.<sup><xref ref-type=""bibr"" rid=""bib17"">17</xref>, <xref ref-type=""bibr"" rid=""bib18"">18</xref></sup>"
5775,43,b,Activated ERK induces the expression of these inhibitory factors.
