,sent_type,doc_sent_idx,text
0,t,1,Dragging Ras Back in the Ring (PMID:24651010)
1,a,2,Ras proteins play a major role in human cancers but have not yielded to therapeutic attack.
2,a,3,Ras-driven cancers are among the most difficult to treat and often excluded from therapies.
3,a,4,"The Ras proteins have been termed “undruggable,” based on failures from an era in which understanding of signaling transduction, feedback loops, redundancy, tumor heterogeneity, and Ras’ oncogenic role was poor."
4,a,5,"Structures of Ras oncoproteins bound to their effectors or regulators are unsolved, and it is unknown precisely how Ras proteins activate their downstream targets."
5,a,6,These knowledge gaps have impaired development of therapeutic strategies.
6,a,7,"A better understanding of Ras biology and biochemistry, coupled with new ways of targeting undruggable proteins, is likely to lead to new ways of defeating Ras-driven cancers."
7,o,8,Main Text
8,b,9,Fifty years have passed since the transforming power of Ras genes was first recognized.
9,b,10,"Harvey sarcoma virus, Kirsten sarcoma virus, and Rasheed sarcoma virus contain Ras genes (so named for their role in forming <i>ra</i>t <i>s</i>arcomas; reviewed in <ce:cross-refs id=""crosrefs0010"" refid=""bib3 bib31"">Barbacid, 1987; Karnoub and Weinberg, 2008</ce:cross-refs>)."
10,b,11,"These retroviruses initiated tumors efficiently and, using temperature-sensitive mutants, were shown to be necessary for tumor maintenance (<ce:cross-ref id=""crosref0040"" refid=""bib62"">Shih et al., 1979</ce:cross-ref>)."
11,b,12,"They formed part of a fascinating collection of retroviruses that was assembled in the 1970s, each able to transform cells in culture and in avian and rodent models."
12,b,13,"These experiments were, essentially, unbiased screens for genes that cause cancer; the nature of the proteins that the genes encoded was completely unknown."
13,b,14,"Remarkably, the majority of these viruses encoded proteins that were later identified as components of the tyrosine kinase-Ras signaling pathway (<ce:cross-ref id=""crosref0045"" refid=""bib75"">Vogt, 2012</ce:cross-ref>), even though the biochemical nature of these proteins was unknown, and tyrosine kinase activity had not been discovered (<ce:cross-ref id=""crosref0050"" refid=""bib17"">Eckhart et al., 1979</ce:cross-ref>)."
14,b,15,"Of the hundreds of mutant proteins now known to contribute to cancer that could have been identified in these assays, including those involved in DNA repair, cellular metabolism, RNA splicing, and the other hallmarks of cancer (<ce:cross-ref id=""crosref0055"" refid=""bib25"">Hanahan and Weinberg, 2011</ce:cross-ref>), those in the tyrosine kinase-Ras pathway stand out as the major drivers and have been the richest source of targets of successful cancer therapies (Abl, epidermal growth factor receptor [EGFR], Her2/neu, B-Raf, Kit, ALK, etc.)."
15,b,16,"These successes can therefore be attributed to the central, dominant role of this pathway in cancer, as well as the fortuitous abundance of druggable targets."
16,b,17,"However, specific therapies have not been developed for mutant Ras proteins themselves or for the cancers that they drive."
17,b,18,"Worse yet, tumors driven by Ras genes are excluded from treatment with other targeted therapies."
18,b,19,"Early efforts to block Ras cancers by preventing Ras farnesylation, once thought to be an essential posttranslational modification for Ras activity, were thwarted by the unexpected presence of a backup system (geranylgeranyltransferase) that restored activity of K-Ras and N-Ras after farnesyltransferase treatment."
19,b,20,"Likewise, efforts to kill Ras cancers by blocking one of Ras’ major downstream effectors, Raf kinase (<ce:cross-ref id=""crosref0060"" refid=""fig1"">Figure 1</ce:cross-ref><ce:float-anchor refid=""fig1"" />), ran into the unexpected discovery that, in Ras-transformed cells, Raf inhibitors activate the pathway rather than inhibit it (see below and discussion in <ce:cross-ref id=""crosref0065"" refid=""bib27"">Holderfield et al., 2013</ce:cross-ref> and <ce:cross-ref id=""crosref0070"" refid=""bib39"">Lito et al., 2013</ce:cross-ref>)."
20,b,21,"MAP kinase kinase (MEK) inhibitors and phosphatidylinositol 3-kinase (PI3K) inhibitors have not yet shown significant clinical activity in Ras cancers, for reasons relating to feedback loops and poor therapeutic windows, among other issues discussed below."
21,b,22,A convergence of urgent unmet clinical needs and advances in drug discovery has energized new efforts to target Ras cancers within academic centers and in the biopharmaceutical industry.
22,b,23,"To catalyze these renewed efforts, the National Cancer Institute recently launched a national Ras program at Frederick National Laboratory for Cancer (see <ce:inter-ref>http://webdefence.global.blackspider.com/urlwrap/?q=AXicY2Rn8FrCwHB9AQNDUU6liXmKXnFRmV5uYmZOcn5eSVF-jl5yfi5DiaGJuaeHSY6Bgam5mRFDUlJiSmJRYqlDcQpEPqOkpMBKXz8osdg5FagrMUcvvyidAQIA65QdsA&Z</ce:inter-ref>), whose goal is to fill critical knowledge gaps that are essential to target Ras cancers effectively and to engage the research community toward solving the Ras problem."
23,b,24,"Here, we will discuss some of these knowledge gaps, as well as recent advances and the challenges that lie ahead."
24,s,25,Ras Mutations in Cancer
25,b,26,Ras genes were the first oncogenes identified in human cancer cells.
26,b,27,"In a series of classic experiments, the groups of Weinberg, Cooper, Barbacid, and Wigler independently identified the transforming genes from T24/EJ bladder carcinoma cells as H-Ras (<ce:cross-refs id=""crosrefs0015"" refid=""bib15 bib50 bib58 bib69"">Der et al., 1982; Parada et al., 1982; Santos et al., 1982; Taparowsky et al., 1982</ce:cross-refs>)."
27,b,28,"More than 30 years later, Ras genes are well established as the most frequently mutated oncogenes in human cancer (<ce:cross-ref id=""crosref0075"" refid=""tbl1"">Table 1</ce:cross-ref><ce:float-anchor refid=""tbl1"" />), though H-Ras itself is rarely one of them."
28,b,29,"Although these numbers are, by now, painfully familiar, they underscore major gaps in our knowledge of Ras biology."
29,b,30,"Most obviously, we do not understand why K-Ras mutation is much more frequent in human cancer than N-Ras or H-Ras, even though each of these is a powerful transforming gene in model systems, and all forms are expressed widely in adult tissues and in tumors."
30,b,31,"A simple explanation for the high frequency of K-Ras mutations, relative to H-Ras and N-Ras, is that the K-Ras protein has unique properties that favor oncogenesis."
31,b,32,"At first sight, this seems unlikely because the Ras proteins are highly conserved, especially in their effector-binding regions where they are actually identical."
32,b,33,"However, K-Ras, but not N-Ras or H-Ras, confers stem-like properties on certain cell types (<ce:cross-ref id=""crosref0080"" refid=""bib54"">Quinlan and Settleman, 2009</ce:cross-ref>)."
33,b,34,"K-Ras-4B, the most highly expressed splice variant of K-Ras, binds calmodulin; H-Ras and N- Ras do not (<ce:cross-ref id=""crosref0085"" refid=""bib74"">Villalonga et al., 2001</ce:cross-ref>)."
34,b,35,"We believe that this unique property of K-Ras-4B confers stem-like properties to cells expressing oncogenic K-Ras-4B proteins (M. Wang and F.M., unpublished data)."
35,b,36,Analysis of human syndromes caused by germline mutations in H-Ras or K-Ras supports the idea that K-Ras is a stronger oncogene.
36,b,37,"Unexpectedly, humans can tolerate germline-activating mutations in H-Ras—the same activating mutations that drive somatic mutations."
37,b,38,"Costello syndrome, which is characterized by germline H-Ras mutations, is associated with a broad spectrum of developmental abnormalities and a high risk for rhabdomyosarcomas and neuroblastomas (reviewed in <ce:cross-ref id=""crosref0090"" refid=""bib55"">Rauen, 2013</ce:cross-ref>)."
38,b,39,"It is puzzling that these individuals do not succumb to malignancies associated with sporadic H-Ras mutations (<ce:cross-ref id=""crosref0095"" refid=""tbl1"">Table 1</ce:cross-ref>)."
39,b,40,"Although fully activating alleles of H-Ras can be tolerated, fully activated alleles of K-Ras may not."
40,b,41,"Variant alleles of K-Ras that account for a small fraction of Noonan’s syndrome and cardiofaciocutaneous syndrome are weakly activated relative to their sporadic oncogenic counterparts (<ce:cross-ref id=""crosref0100"" refid=""bib61"">Schubbert et al., 2007</ce:cross-ref>)."
41,b,42,Further support for the idea that K-Ras has functions distinct from H-Ras and N-Ras comes from analyses of the roles of Ras genes in development.
42,b,43,"Mice that lack K-Ras die during embryogenesis, whereas mice lacking H-Ras and/or N-Ras are viable (<ce:cross-ref id=""crosref0105"" refid=""bib30"">Johnson et al., 1997</ce:cross-ref>)."
43,b,44,"However, replacing K-Ras with H-Ras at the K-Ras genomic locus allows mice to develop, suggesting that differential regulation of K-Ras and H-Ras gene expression determines their relative importance in development rather than the properties of the proteins themselves (<ce:cross-ref id=""crosref0110"" refid=""bib51"">Potenza et al., 2005</ce:cross-ref>)."
44,b,45,"Furthermore, Balmain and colleagues discovered that these H-Ras knock-in mice develop tumors in response to carcinogens at normal frequencies, except that they are now driven by H-Ras instead of K-Ras (<ce:cross-ref id=""crosref0115"" refid=""bib70"">To et al., 2008</ce:cross-ref>)."
45,b,46,These data argue strongly that the locus is critical and that the specific Ras paralog encoded at that locus does not affect the frequency at which tumors arise.
46,b,47,"Equally important, they find that K-Ras-4A, not K-Ras-4B, is necessary for lung tumor initiation, although K-Ras-4B is much more highly expressed during progression."
47,b,48,This supports the idea that K-Ras-4B is the more important target in established tumors but raises the concern that K-Ras-4A may have an important role in minor stem-like populations of established tumors.
48,b,49,"These findings point toward an urgent need to validate K-Ras-4A and K-Ras-4B as drug targets, a major issue that has not yet been addressed."
